title,similar_title,cosine_similarity
hope springs,p.s. i love you,0.8656587
four brothers,the three stooges,0.86934304
baby mama,one true thing,0.88163745
bride wars,the imaginarium of doctor parnassus,0.88423586
message in a bottle,les petits mouchoirs,0.85668814
star trek v: the final frontier,キャプテンハーロック,0.85807943
like mike,driving lessons,0.8520254
the naked gun 33⅓: the final insult,everybody's fine,0.8594209
p.s. i love you,side effects,0.8514971
racing stripes,khumba,0.8506619
letters to juliet,romeo + juliet,0.87332344
black rain,brother,0.8939842
glory road,when the game stands tall,0.8542315
sicario,once upon a time in mexico,0.88125265
southpaw,rocky balboa,0.8555167
the age of adaline,straw dogs,0.8576731
step up 3d,take the lead,0.871125
30 days of night,vampires,0.8614978
the cabin in the woods,book of shadows: blair witch 2,0.86000335
meet the spartans,disaster movie,0.8716182
larry crowne,gridiron gang,0.87056434
carrie,my super ex-girlfriend,0.8734759
take the lead,center stage,0.8715003
9,nine dead,0.8776784
winnie the pooh,pooh's heffalump movie,0.87763196
dumb and dumberer: when harry met lloyd,notes on a scandal,0.8501149
deliver us from evil,lost souls,0.8550942
the five-year engagement,tom jones,0.8705777
assault on precinct 13,lucky number slevin,0.86219
the replacement killers,친절한 금자씨,0.8866523
fled,a low down dirty shame,0.8532638
eight legged freaks,pale rider,0.855855
pride and glory,let's be cops,0.85277295
fright night,dracula 2000,0.8540647
in dreams,return to oz,0.871745
the last stand,wah-wah,0.86004806
godsend,the royal tenenbaums,0.8782382
the imaginarium of doctor parnassus,dead man down,0.8593032
once upon a time in america,blood ties,0.85363966
dead man down,safe haven,0.85631216
supercross,final destination 3,0.85044014
doa: dead or alive,never back down,0.8543378
the assassination of jesse james by the coward robert ford,blackthorn,0.85585284
辛亥革命,the last emperor,0.8654559
le petit nicolas,this is where i leave you,0.8558509
wild card,existenz,0.867489
goodbye bafana,winnie mandela,0.8654076
united passions,the game of their lives,0.8728165
confessions of a dangerous mind,the kentucky fried movie,0.86048746
the boss,punch-drunk love,0.85258394
the jacket,the giver,0.86123836
indiana jones and the temple of doom,raiders of the lost ark,0.85905284
the rugrats movie,trees lounge,0.8639863
along came a spider,kiss the girls,0.8881531
the big short,money monster,0.85613596
taking woodstock,woodstock,0.85168386
miracle,"mystery, alaska",0.85422194
キャプテンハーロック,star trek iii: the search for spock,0.8613951
the royal tenenbaums,divine secrets of the ya-ya sisterhood,0.8560226
last vegas,where the truth lies,0.85208046
timecop,project almanac,0.86207646
hocus pocus,ハウルの動く城,0.8593576
30 minutes or less,spring breakers,0.8525313
we own the night,derailed,0.85499907
lost souls,the last exorcism,0.8577294
just my luck,new year's eve,0.85659087
"mystery, alaska",into the wild,0.85045815
our brand is crisis,the face of an angel,0.8727998
kick-ass 2,return of the living dead 3,0.8607342
octopussy,you only live twice,0.8709632
knocked up,a madea christmas,0.8583385
a passage to india,the woman in black,0.86270326
notes on a scandal,the best of me,0.87029827
rendition,lockout,0.86307645
kiss the girls,swimming pool,0.85257244
the sisterhood of the traveling pants 2,the sisterhood of the traveling pants,0.8969926
anonymous,the man who knew too little,0.8520101
dark city,i heart huckabees,0.86500096
case 39,the exorcism of emily rose,0.8603806
the statement,bon voyage,0.8711939
the magic flute,the grudge 2,0.8585896
the 40 year old virgin,the 41–year–old virgin who knocked up sarah marshall and felt superbad about it,0.8587884
a walk among the tombstones,don't be afraid of the dark,0.8515285
pineapple express,a scanner darkly,0.8597337
open range,ready to rumble,0.85648024
flatliners,pathology,0.8550389
in good company,american beauty,0.8503927
silverado,the killer inside me,0.85887736
original sin,self/less,0.8597315
the raven,my soul to take,0.8571351
highlander iii: the sorcerer,mortal kombat,0.85081375
accidental love,my blueberry nights,0.86515564
rain man,eurotrip,0.86064017
w.,the men who stare at goats,0.85847056
the bodyguard,jeepers creepers 2,0.8506772
cloverfield,reign over me,0.8562022
bridget jones's diary,no strings attached,0.8516649
the omen,the beastmaster,0.8540814
final destination 3,final destination,0.8507064
finding neverland,return to never land,0.87207896
hide and seek,urbania,0.8579837
goodfellas,things to do in denver when you're dead,0.8606825
contraband,the counselor,0.85824645
the wild thornberrys movie,august: osage county,0.8522769
beauty shop,the women,0.8598448
million dollar arm,summer catch,0.8553977
mr. bean's holiday,entre les murs,0.85187423
elizabeth,un plan parfait,0.8601636
spice world,wild things,0.8513482
dance flick,"tango, no me dejes nunca",0.8524351
crocodile dundee in los angeles,crocodile dundee,0.89820015
don juan demarco,much ado about nothing,0.85813797
half past dead,king's ransom,0.89520997
unaccompanied minors,black nativity,0.85518384
"bright lights, big city",aberdeen,0.874925
the adventures of pinocchio,being john malkovich,0.8553995
the greatest game ever played,bobby jones: stroke of genius,0.86785746
the ruins,darkness,0.8555576
my soul to take,shark night,0.8519292
lords of dogtown,chasing mavericks,0.85523856
michael collins,becoming jane,0.8509909
abandon,ask me anything,0.902161
the possession,child's play,0.85627884
straw dogs,carnage,0.86833364
stone cold,mad max,0.8577932
say it isn't so,win a date with tad hamilton!,0.8535392
blindness,footloose,0.8624983
love ranch,think like a man too,0.8534705
the counselor,philadelphia,0.85472006
red sky,machete kills,0.8640057
on the road,endless love,0.8532366
star trek iv: the voyage home,star trek ii: the wrath of khan,0.8517457
rocky balboa,play it to the bone,0.86283004
return to me,miss march,0.8512939
nurse betty,i want someone to eat cheese with,0.8571846
the men who stare at goats,the deer hunter,0.853576
ready to rumble,the naked gun 2½: the smell of fear,0.8552656
play it to the bone,fear and loathing in las vegas,0.85335875
ハウルの動く城,georgia rule,0.8540659
the waterboy,the great debaters,0.8559081
the empire strikes back,spaceballs,0.8548178
bad boys,brazil,0.8650852
someone like you...,"paris, je t'aime",0.8567342
joy ride,one direction: this is us,0.8515206
jaws: the revenge,jaws 2,0.8790797
marvin's room,moonlight mile,0.8692504
in the valley of elah,i am wrath,0.8770125
chéri,l'auberge espagnole,0.8523191
1408,grave encounters,0.8612065
spaceballs,star wars,0.8602412
ghost,the glass house,0.8543986
the bridges of madison county,tammy,0.86526406
gandhi,"gandhi, my father",0.8643642
the hundred-foot journey,here on earth,0.857965
son of god,diary of a wimpy kid: dog days,0.8548977
underworld,daybreakers,0.85619867
deuce bigalow: european gigolo,deuce bigalow: male gigolo,0.8568418
diary of a wimpy kid: dog days,freedom writers,0.8712055
josie and the pussycats,the last song,0.8571763
the little vampire,the lost boys,0.8685068
the transporter refueled,the transporter,0.85756785
hit & run,crocodile dundee ii,0.85205483
mad money,small time crooks,0.867521
before i go to sleep,death at a funeral,0.85136616
molière,keeping up with the steins,0.85206014
out of the furnace,let's go to prison,0.85585105
death at a funeral,swing vote,0.86316997
hardball,rounders,0.8647479
for colored girls,the incredibly true adventure of two girls in love,0.86332655
never back down,code name: the cleaner,0.8657497
molly,the haunting of molly hartley,0.85172725
the best little whorehouse in texas,appaloosa,0.8926734
existenz,to die for,0.8599459
home alone 2: lost in new york,bad santa,0.8502501
close encounters of the third kind,edward scissorhands,0.85751045
pulse,videodrome,0.85116404
beverly hills cop ii,beverly hills cop,0.8553766
bringing down the house,bound,0.8549712
wayne's world,date movie,0.8539382
jaws 2,jaws,0.89407563
the conjuring,premonition,0.8501507
are we there yet?,bullets over broadway,0.8628818
holes,doug's 1st movie,0.85861135
drumline,the rocker,0.882765
why did i get married too?,babel,0.8815948
madea's witness protection,capitalism: a love story,0.8577288
selma,love me tender,0.8523028
the jungle book 2,wrong turn,0.85002786
premonition,orphan,0.8512502
orphan,everyone says i love you,0.856699
max,the kite runner,0.8720389
the grudge 2,the grudge,0.88456655
how stella got her groove back,celeste & jesse forever,0.85111463
the american,the shining,0.85997105
vampires suck,let me in,0.8528171
this is where i leave you,the hills have eyes,0.8532333
doubt,the craft,0.85024023
texas chainsaw 3d,small apartments,0.851503
scary movie 5,silent hill: revelation 3d,0.860962
paint your wagon,the claim,0.87048656
risen,the robe,0.8739016
wild things,the stepfather,0.85569596
one missed call,the greatest story ever told,0.86102885
the world's end,the covenant,0.85070866
nancy drew,foolish,0.85015464
monte carlo,le bonheur d'elza,0.85071576
appaloosa,secret in their eyes,0.8611936
my best friend's girl,fight to the finish,0.85882187
georgia rule,home for the holidays,0.8519072
into the wild,lottery ticket,0.85182935
school for scoundrels,loser,0.852344
from dusk till dawn,"dude, where’s my car?",0.85448176
home for the holidays,bad teacher,0.8591607
功夫,kung pow: enter the fist,0.8568474
paparazzi,the weather man,0.8561261
the greatest story ever told,envy,0.89335555
disaster movie,the hotel new hampshire,0.8743811
crank: high voltage,crank,0.8519271
bullets over broadway,enter the void,0.85055923
the quiet american,blood done sign my name,0.8600795
let me in,scream,0.85870904
3 ninjas kick back,letters from iwo jima,0.8541163
deconstructing harry,el secreto de sus ojos,0.8547508
we're no angels,mercy streets,0.86763465
everyone says i love you,bandslam,0.8647933
death sentence,white noise 2: the light,0.8520755
everybody's fine,robot & frank,0.8524138
the man,about last night,0.85053396
code name: the cleaner,confidence,0.85695684
sweet charity,all or nothing,0.85528773
inherent vice,peggy sue got married,0.8518188
doogal,the cold light of day,0.85148275
an american carol,love the coopers,0.85290486
willard,escape from tomorrow,0.8613898
strange wilderness,love in the time of monsters,0.87298465
a scanner darkly,equilibrium,0.8714287
chasing mavericks,the shallows,0.8569776
bandslam,butterfly on a wheel,0.8758956
birth,leap year,0.8588886
a most violent year,all good things,0.88306403
i'm not there.,the last waltz,0.8519764
the cold light of day,can't stop the music,0.87211716
"synecdoche, new york",nine 1/2 weeks,0.8539824
bon voyage,der baader meinhof komplex,0.86378586
marci x,janky promoters,0.8716253
equilibrium,the informers,0.863596
the oogieloves in the big balloon adventure,the blue bird,0.85166293
by the sea,bienvenue chez les ch'tis,0.85762316
all good things,people i know,0.86979824
der baader meinhof komplex,der untergang,0.856426
dances with wolves,major dundee,0.8519202
sea of love,drowning mona,0.8506121
scream,house on haunted hill,0.8628103
the shining,diary of a wimpy kid: rodrick rules,0.8542852
back to the future,little women,0.85611176
house on haunted hill,tim and eric's billion dollar movie,0.8520243
i can do bad all by myself,madea goes to jail,0.8678968
the crazies,sex drive,0.86703837
take me home tonight,"i love you, beth cooper",0.85108167
the amityville horror,neighbors,0.8699292
adaptation.,gentlemen broncos,0.87298876
逃出生天,the divide,0.8623164
neighbors,prom night,0.85350937
the family stone,the object of my affection,0.8501724
barbershop 2:  back in business,barbershop,0.8913954
bad santa,and so it goes,0.8513963
my big fat greek wedding 2,things we lost in the fire,0.85293466
amadeus,"nannerl, la soeur de mozart",0.8667363
mean girls,the best man,0.8544266
under the tuscan sun,elsa & fred,0.8546674
united 93,ararat,0.8712018
the fog,grabbers,0.8641522
love happens,edmond,0.8815468
center stage,frances ha,0.87383187
"i love you, beth cooper",loving annabelle,0.8535523
and so it goes,troop beverly hills,0.88903964
rocknrolla,a simple plan,0.853232
anything else,head over heels,0.8765398
the railway man,tycoon,0.8624246
carlos,the east,0.86207134
day of the dead,night of the living dead,0.88889503
superbad,american pie,0.8617028
madea goes to jail,slow burn,0.8563966
step up 2: the streets,stomp the yard,0.8586716
black nativity,the best man holiday,0.87546074
the prince,the unborn,0.85806835
i know what you did last summer,urban legend,0.8587844
let's be cops,the son of no one,0.87371945
halloween,halloween ii,0.8507694
the best man holiday,sydney white,0.8649172
saw 3d,saw vi,0.88042027
beastly,world's greatest dad,0.8563993
the hills have eyes,the lost skeleton of cadavra,0.85257983
a simple plan,jeepers creepers,0.8655653
larry the cable guy: health inspector,slither,0.85163856
american dreamz,"guten tag, ramón",0.8505082
bobby jones: stroke of genius,funny games,0.8620795
shanghai surprise,三城记,0.85672057
roar,you can count on me,0.8569856
escobar: paradise lost,dawn patrol,0.8817678
the apparition,paranormal activity 2,0.8504757
my girl,twixt,0.8684239
fur: an imaginary portrait of diane arbus,lost in translation,0.8533984
road trip,valentine,0.85281754
varsity blues,she's all that,0.8628085
the artist,the guru,0.8547064
the unborn,white oleander,0.8653722
double impact,irréversible,0.86488014
vicky cristina barcelona,mr. turner,0.85325474
arn: tempelriddaren,history of the world: part i,0.8561319
drowning mona,red riding: in the year of our lord 1974,0.85035425
how to deal,superstar,0.85889316
highlander,highlander: endgame,0.85156786
things we lost in the fire,hachi: a dog's tale,0.8525115
trance,deadfall,0.8531522
bienvenue chez les ch'tis,wasabi,0.8536693
good,die welle,0.9026112
enter the void,25th hour,0.85012174
vamps,vampire in brooklyn,0.8599309
zulu,beastmaster 2: through the portal of time,0.8518697
juwanna mann,just wright,0.8671818
ararat,krampus,0.86525273
slow burn,malibu's most wanted,0.862813
home alone,time bandits,0.8705364
the imitation game,mean machine,0.85567725
private benjamin,coal miner's daughter,0.8544603
mama,insidious: chapter 3,0.8530129
jackass presents: bad grandpa,peeples,0.8522901
the queen,the iron lady,0.85410845
beetlejuice,praia do futuro,0.853087
when a stranger calls,in the cut,0.85845757
wag the dog,fahrenheit 9/11,0.85734665
the lizzie mcguire movie,bananas,0.8509907
the faculty,the emperor's club,0.8509235
cop land,defendor,0.85525155
not another teen movie,the in crowd,0.8629746
end of watch,action jackson,0.8529003
malibu's most wanted,the jerky boys,0.85212153
wild,the dead girl,0.85479873
halloween: resurrection,halloween 5: the revenge of michael myers,0.8947589
the princess bride,11:14,0.8548801
drive,drive hard,0.8625385
confessions of a teenage drama queen,the broadway melody,0.8553938
the object of my affection,boat trip,0.85289603
28 weeks later,28 days later,0.8568153
grosse pointe blank,shooting fish,0.85853285
book of shadows: blair witch 2,st. vincent,0.8621477
boogie nights,aroused,0.8504245
nowhere to run,lone star,0.85059994
the hills have eyes ii,invasion u.s.a.,0.8632695
tuck everlasting,lol,0.859457
the november man,the company,0.893674
freddy got fingered,our family wedding,0.8511792
idlewild,she done him wrong,0.85875934
one day,16 to life,0.8546929
whip it,dawn of the crescent moon,0.85031325
the muse,trade of innocents,0.8500064
de-lovely,house of d,0.8526472
here on earth,an american haunting,0.85487175
raise your voice,brave new girl,0.8515878
black snake moan,blood and chocolate,0.8701541
promised land,cedar rapids,0.86655194
the in crowd,never let me go,0.8614175
idle hands,paranormal activity: the marked ones,0.85849506
never let me go,stoker,0.8524345
funny games,dead like me: life after death,0.86303353
winnie mandela,fatal attraction,0.8966082
magic mike xxl,magic mike,0.8738424
unforgiven,green street hooligans: underground,0.8502357
white fang,the station agent,0.8535776
the iron lady,philomena,0.86616886
poetic justice,for your consideration,0.85693985
exorcist ii: the heretic,the exorcist,0.8631623
dead man on campus,slackers,0.8635343
tea with mussolini,four single fathers,0.85038835
"new york, new york",crooklyn,0.85346186
crooklyn,amour,0.85949117
bobby,the wendell baker story,0.8854838
head over heels,thirteen,0.85050637
fun size,darkness falls,0.86126125
little children,easy virtue,0.85943604
gossip,can't hardly wait,0.8506116
a walk on the moon,far from heaven,0.8731051
caravans,the misfits,0.8590433
mr. turner,big eyes,0.8510532
the lucky ones,no end in sight,0.8679255
flipped,"definitely, maybe",0.8686072
seven psychopaths,save the last dance,0.85747534
the godfather: part ii,the godfather,0.9102194
a nightmare on elm street 4: the dream master,new nightmare,0.88773614
"dude, where’s my car?",sleepover,0.8524518
about last night,baby geniuses,0.8541742
snow day,light it up,0.8658169
baby geniuses,woo,0.863265
the big hit,american hero,0.90868217
harriet the spy,restless,0.85731685
being john malkovich,saw iii,0.8511123
letters from iwo jima,proud,0.85012114
room,spider,0.8526021
light it up,reno 911!: miami,0.8632843
21 & over,dope,0.8606281
"paris, je t'aime",down to you,0.85112286
chloe,faithful,0.8822235
faithful,womb,0.8524965
find me guilty,skin trade,0.8502924
excessive force,gli intoccabili,0.8538629
infamous,brooklyn rules,0.8519326
i love you phillip morris,krush groove,0.8682064
the emperor's club,the history boys,0.85549575
true romance,go,0.858948
sorority row,black christmas,0.8973156
the funeral,deuces wild,0.85105276
solitary man,arbitrage,0.85655314
casino jack,misconduct,0.8744801
the exorcist,a haunted house 2,0.8530442
american pie,project x,0.89262104
beavis and butt-head do america,bamboozled,0.8577711
time bandits,dysfunktional family,0.85134476
project x,my baby's daddy,0.8567494
quarantine,the oxford murders,0.85094684
rounders,saint john of las vegas,0.9034986
top five,young adult,0.8757248
prophecy,the toxic avenger,0.8762317
aquamarine,splash,0.85151887
max keeble's big move,there goes my baby,0.85312456
young adult,from justin to kelly,0.85183394
crank,duma,0.8620291
just wright,rachel getting married,0.8532204
rachel getting married,black or white,0.85009086
the postman always rings twice,in cold blood,0.8563499
das boot,"20,000 leagues under the sea",0.8810003
arbitrage,american psycho,0.8661566
cadillac records,dave chappelle's block party,0.85309565
screwed,darling companion,0.86299103
fortress,witless protection,0.8549502
celebrity,une femme mariée: suite de fragments d'un film tourné en 1964,0.8567061
from justin to kelly,two lovers,0.8983365
la grande bellezza,full frontal,0.8528478
married life,the perfect match,0.8557919
welcome to collinwood,housefull,0.85240716
the life before her eyes,vera drake,0.8534149
cypher,the cry of the owl,0.86027366
10 days in a madhouse,romeo is bleeding,0.85014653
まあだだよ,american desi,0.854378
trash,jimmy and judy,0.85235584
high school musical 3: senior year,high school musical 2,0.9138803
the fighter,pulp fiction,0.85662174
jackass number two,jackass: the movie,0.86947083
drive hard,crash,0.8626403
major league,the business of fancydancing,0.85041004
a walk to remember,friday the 13th part iii,0.8565553
dead man walking,the nun's story,0.8548585
saw vi,saw v,0.9051022
history of the world: part i,frailty,0.8512407
the secret life of bees,lilja 4-ever,0.85371053
raising cain,el orfanato,0.85552716
brooklyn,annie hall,0.85121846
inside llewyn davis,grace unplugged,0.8518581
return to the blue lagoon,black rock,0.8504013
कभी अलविदा ना कहना,monsoon wedding,0.85370845
the last days on mars,capricorn one,0.865652
2001: a space odyssey,the house of the devil,0.85422236
in the land of women,the perfect man,0.8523085
housefull,friday after next,0.85167176
september dawn,meek's cutoff,0.8667644
for greater glory - the true story of cristiada,death calls,0.87393075
saw iii,saw iv,0.8776339
the purge: election year,all superheroes must die,0.8523714
she's all that,the duff,0.853413
white noise,shutter,0.8576189
madea's family reunion,and then came love,0.8510448
the best exotic marigold hotel,the second best exotic marigold hotel,0.89992636
mad max beyond thunderdome,logan's run,0.85269773
the boy,sinister 2,0.87334895
insidious: chapter 3,heavy metal,0.8880996
nick and norah's infinite playlist,anderson's cross,0.8649946
a low down dirty shame,killer joe,0.85094017
employee of the month,blonde ambition,0.8998744
sinister 2,mud,0.8587944
invasion u.s.a.,igby goes down,0.8551433
skyline,area 51,0.85130376
kung pow: enter the fist,finishing the game,0.8703952
wrong turn,"it's a mad, mad, mad, mad world",0.85212964
reno 911!: miami,d.e.b.s.,0.8513992
office space,the front page,0.86396587
drop dead gorgeous,dreaming of joseph lees,0.8513542
big eyes,addicted,0.8728924
very bad things,what happens in vegas,0.8706155
macgruber,malone,0.8529745
seeking a friend for the end of the world,melancholia,0.87452567
cedar rapids,they came together,0.85568875
deuces wild,west side story,0.8864057
run fatboy run,the four seasons,0.85068625
heartbeeps,the house of mirth,0.8600731
rescue dawn,in her line of fire,0.8508853
danny collins,nowhere boy,0.87137043
"jeff, who lives at home",while we're young,0.8753869
romeo is bleeding,in too deep,0.8623401
the house of mirth,peaceful warrior,0.866411
malone,"good night, and good luck.",0.8532214
bucky larson: born to be a star,cecil b. demented,0.8748227
bamboozled,network,0.8590822
sphinx,"an alan smithee film: burn, hollywood, burn",0.8539385
while we're young,the brothers solomon,0.8586054
the iceman,the joneses,0.85903037
कृष,rang de basanti,0.8664587
cecil b. demented,strangerland,0.85095567
swept away,code 46,0.8502166
world's greatest dad,fascination,0.8522795
blood done sign my name,school daze,0.85129845
elsa & fred,lisa picard is famous,0.85900015
motherhood,hai marjawaan!,0.861185
janky promoters,glee: the concert movie,0.8515894
blonde ambition,trading places,0.8508338
fifty dead men walking,the crying game,0.8539642
nurse 3-d,harry brown,0.8660336
you only live twice,from russia with love,0.8595303
plastic,diamonds are forever,0.8628736
amour,the art of getting by,0.853006
"it's a mad, mad, mad, mad world",90 minutes in heaven,0.8810463
gentlemen broncos,richard iii,0.86950755
richard iii,henry v,0.8922171
into the grizzly maze,limbo,0.8659334
melancholia,the savages,0.8874996
detention,we need to talk about kevin,0.8538258
mine vaganti,festen,0.8500876
the best man,breakin' all the rules,0.86806893
harold & kumar go to white castle,crazy heart,0.8518216
boiler room,criminal activities,0.8508824
black christmas,house at the end of the street,0.85316133
igby goes down,undiscovered,0.87757957
due occhi diabolici,annabelle,0.85204154
barbecue,50/50,0.8531162
all or nothing,you kill me,0.85283524
undiscovered,little miss sunshine,0.86418134
veronika decides to die,the dark hours,0.85014176
the lost boys,stake land,0.87715876
the wind that shakes the barley,bloody sunday,0.86292154
pulp fiction,the chumscrubber,0.8518119
splash,fifty shades of black,0.8550134
28 days later,antiviral,0.86278594
50/50,anomalisa,0.8838004
shutter,another year,0.8573679
that awkward moment,a home at the end of the world,0.85028696
new nightmare,a nightmare on elm street 5: the dream child,0.87145346
american psycho,friends with money,0.8502902
the boondock saints ii: all saints day,the boondock saints,0.89921594
8 femmes,gone with the wind,0.85455036
it's kind of a funny story,and when did you last see your father?,0.8509203
made in dagenham,without men,0.8531686
the wicked lady,diary of a mad black woman,0.85556334
down in the valley,rodeo girl,0.8647316
brooklyn rules,the singing detective,0.8620256
the singing detective,masked and anonymous,0.8847686
wild target,2:13,0.8557596
aloft,a single man,0.8509991
the death and life of bobby z,down terrace,0.8502696
swimming pool,hostel: part ii,0.8592371
soul food,soul kitchen,0.8500025
hostel: part ii,hostel,0.85387206
the work and the glory,the work and the glory ii: american zion,0.87361217
code 46,the neon demon,0.8553507
black november,fuel,0.8518661
the neon demon,devil's due,0.87163526
harry brown,desperado,0.850011
diamonds are forever,live and let die,0.8553315
magic mike,the players club,0.8510974
live and let die,the man with the golden gun,0.8674022
capote,do the right thing,0.85999614
desperado,hodejegerne,0.8529865
the man with the golden gun,goldfinger,0.85610825
the descent,gerry,0.8601659
devil's due,somewhere,0.8991399
in too deep,dom hemingway,0.8524331
house of 1000 corpses,oculus,0.86453694
alien zone,bride & prejudice,0.8625617
outside providence,the wackness,0.8508753
losin' it,y tu mamá también,0.85126764
somewhere,hesher,0.8872392
chairman of the board,"surfer, dude",0.91485214
the heart of me,goddess of love,0.85772157
the boondock saints,chain of command,0.85194594
high school musical 2,high school musical,0.92201084
criminal activities,the virgin suicides,0.86161584
shade,the words,0.8501409
house at the end of the street,mallrats,0.8605678
perrier’s bounty,tales from the hood,0.85596555
dressed to kill,novocaine,0.86508375
go,layer cake,0.86080474
aberdeen,truth or dare,0.852195
grease,forget me not,0.8609455
platoon,brotherly love,0.85800165
fahrenheit 9/11,nighthawks,0.8714708
a nightmare on elm street 5: the dream child,a nightmare on elm street 3: dream warriors,0.9158497
school daze,200 cigarettes,0.85551274
daddy day camp,the way way back,0.8537955
tales from the hood,made,0.8522639
halloween 5: the revenge of michael myers,halloween: the curse of michael myers,0.9164212
the words,obsluhoval jsem anglického krále,0.857879
the virgin suicides,lake of fire,0.85519433
miss march,atlas shrugged part iii: who is john galt?,0.8579965
goddess of love,heavenly creatures,0.86243784
novocaine,choke,0.8706657
the first great train robbery,train,0.8568765
morvern callar,scoop,0.8586465
snow flower and the secret fan,saving face,0.9033359
julia,the last exorcism part ii,0.8566928
"surfer, dude",insidious: chapter 2,0.8575524
lake of fire,khiladi 786,0.86887246
don mckay,sunshine state,0.86229616
deadfall,ghost world,0.85219604
videodrome,don jon,0.860977
song one,my last day without you,0.8527771
freaky deaky,q,0.85523796
trade of innocents,que horas ela volta?,0.85000193
crossover,house party 2,0.85491496
khiladi 786,standing ovation,0.8628608
chariots of fire,elmer gantry,0.8601397
shine,så som i himmelen,0.85971606
high plains drifter,放‧逐,0.8642555
ghost world,harvard man,0.86146533
insidious: chapter 2,paranormal activity 3,0.8568371
paranormal activity 3,ouija,0.8583559
a nightmare on elm street 3: dream warriors,freddy's dead: the final nightmare,0.8998728
no se aceptan devoluciones,monster,0.8601749
freddy's dead: the final nightmare,a nightmare on elm street part 2: freddy's revenge,0.9254211
paranormal activity: the marked ones,slums of beverly hills,0.8560459
oculus,my big fat greek wedding,0.8797226
the apostle,the texas chainsaw massacre 2,0.880983
mommie dearest,the diary of a teenage girl,0.8502539
"as above, so below",the wicked within,0.85078734
nighthawks,standard operating procedure,0.8682982
halloween: the curse of michael myers,halloween 4: the return of michael myers,0.87577593
the haunting of molly hartley,pokémon 3: the movie,0.8643135
solomon and sheba,ajami,0.85875344
fifty shades of black,not easily broken,0.88045806
not easily broken,rabbit hole,0.91498005
the perfect match,purple violets,0.86194295
uhf,talk radio,0.8516344
grandma's boy,girlhouse,0.8535588
made,only god forgives,0.85182995
90 minutes in heaven,sinister,0.8630663
everything must go,moms' night out,0.8575442
light sleeper,the rules of attraction,0.85060555
kill the messenger,antibirth,0.85605854
rabbit hole,"lovely, still",0.8561326
"gandhi, my father",water,0.8543322
standard operating procedure,redacted,0.8536164
tucker and dale vs evil,old joy,0.8587311
"lovely, still",take shelter,0.85406625
redacted,born of war,0.86244845
fascination,not cool,0.852194
rudderless,the night listener,0.8537293
dying of the light,eden lake,0.85960674
running forever,horse camp,0.8528015
the awakening,subconscious,0.86569685
hostel,3 backyards,0.8618675
let's kill ward's wife,a dog's breakfast,0.853046
only god forgives,the rise of the krays,0.869844
25th hour,n-secure,0.85457194
requiem for a dream,snabba cash,0.85638654
"tango, no me dejes nunca",life during wartime,0.8789853
salvando al soldado perez,el rey de najayo,0.85510814
spun,fetching cody,0.86841065
life during wartime,r.l. stine's monsterville: the cabinet of souls,0.8599471
blackthorn,the timber,0.85184836
after.life,the boy next door,0.86503536
one flew over the cuckoo's nest,secretary,0.85326654
falcon rising,fruitvale station,0.85010433
snabba cash,close range,0.85257375
night of the living dead,maggie,0.8558492
lost in translation,something wicked,0.8500052
leaving las vegas,the lost weekend,0.8547677
trapeze,the loss of sexual innocence,0.8664925
a haunted house 2,frenzy,0.85510474
topaz,awol-72,0.8519431
four rooms,the innkeepers,0.8531871
the real cancun,the jimmy show,0.8577165
talk radio,joe,0.86645633
love stinks,sex with strangers,0.86383855
"guten tag, ramón",wal-mart: the high cost of low price,0.8561584
nothing,garden state,0.88986576
gone with the wind,casa de areia,0.86151165
major dundee,"il buono, il brutto, il cattivo",0.85348755
friday,martin lawrence live: runteldat,0.87583053
in cold blood,reservoir dogs,0.8516514
harper,frozen river,0.8513266
train,before midnight,0.8566686
evil dead ii,the evil dead,0.87122816
trolljegeren,the man who shot liberty valance,0.8509532
winter passing,chasing amy,0.85642457
the betrayed,redemption road,0.8536931
"batman: the dark knight returns, part 2",the toxic avenger part ii,0.8635776
time to choose,unnatural,0.85594696
lords of london,ghost dog: the way of the samurai,0.85770917
margin call,this thing of ours,0.85954076
the dead girl,jagten,0.8517061
class of 1984,river's edge,0.85073227
entre les murs,central do brasil,0.85995376
rosemary's baby,adam,0.86456263
adam,beginners,0.85474735
"maría, llena eres de gracia",jesus' son,0.85775614
animal house,walter,0.85215175
goldfinger,shalako,0.8732591
归来,amnesiac,0.85611033
a nightmare on elm street part 2: freddy's revenge,the horse boy,0.8628477
sinister,family plot,0.86085737
martin lawrence live: runteldat,letters to god,0.85072374
friday the 13th part vi: jason lives,friday the 13th: the final chapter,0.8961849
family plot,疯狂的赛车,0.85151815
slow west,fish tank,0.851811
elmer gantry,happiness,0.86396843
before midnight,before sunrise,0.85224104
phantasm ii,swingers,0.85839194
days of heaven,the valley of decision,0.8678915
basquiat,me and you and everyone we know,0.85221726
frances ha,एबीसीडी,0.9079713
fish tank,chicago overcoat,0.8504078
bachelorette,boynton beach club,0.85070366
brave new girl,there's always woodstock,0.8571746
just looking,kids,0.87705356
the divide,[rec],0.8736239
demonic,thr3e,0.86067164
the deported,il conformista,0.86429954
tanner hall,the spectacular now,0.85014194
open road,30 nights of paranormal activity with the devil inside the girl with the dragon tattoo,0.8690634
barry munday,maurice,0.8510429
close range,no man's land: the rise of reeker,0.85232687
amnesiac,the lady from shanghai,0.860807
